2004–	2004-
2007–	2007-
4o	40
9-1ágaš	9-lágaš
ASai	AS:i
Adjitt	Ádjit
Adjtskaidi	Ádjatskáidi
Afrihkkás	Afrihkás
Ahkkanasjohkii	Áhkkanasjohkii
Ahkoš	Áhkoš
Ahkožis	Áhkožis
Aigi	Áigi
Ailligas	Áilegas
Aisttorn	Aistton
Aitevárri	Áitevárri
Alaraudajoki	Alaraudanjoki
Alddut	Álddut
Algu	Álgu
Alitčohká	Alitčohka
Allaskuvl-las	Allaskuvllas
Alleknjárggas	Álletnjárggas
Allii	Alli
Allábasiidipmilbálvalus	Allabasiidipmilbálvalus
Altta	Álttá
Alttas	Álttás
Amerihka	Amerihká
Amerihkas	Amerihkás
Amerihkii	Amerihkkái
Ameriihka	Amerihká
Ameriikalaččaide	Amerihkálaččaide
Ameriikalaš	Amerihkálaš
Ameriikas	Amerihkás
Amtmannsnessii	Amtmannsnesii
Anar	Anár
Anaris	Anáris
Anatomalas	Anatomalaš
Andaras	Ándaras
Andaras-gállá	Ándaras-gállá
Andaras-vuoras	Ándaras-vuoras
Andaras-vuoras:	Ándaras-vuoras:
Andersenas	Andersenis
AnneBritt	Anne-Britt
Anárjoht	Anárjoga
Anárá	Anára
Apotehkka	Apoteahkka
Arkhangela	Arkangela
Arkhangelskas	Arkangelas
Artic	Arctic
Artihkkalistis	Artihkkalisttis
Artihkkela	Artihkkala
Askak	Aslak
Asla	Aslat
Assuorggebuollan	Ássuorggebuollán
Astejohka	Ástejohka
Astrids	Astridis
Asttoáigesearvi	Astoáiggesearvi
Atlánterábi	Atlántaábi
Attáma-	Áttáma-
Audon	Audun
Austalia	Australia
Avži	Ávži
Avžžhuhusa	Ávžžuhusa
Aŋgirepmosat	Áŋgirepmosat
Aŋŋel	Áŋŋel
Ašše	Ášše
Aššebáhpárat	Áššebáhpárat
Aššenamma	Áššenamma
Aššenr	Áššenr.
Ašši	Ášši
Badjelasás	Badjelasas
Badjit	Bajit
Bahccavuotna	Báhccavuotna
Bahkkejeaddjiŧ	Bahkkejeaddjit
Bajasšaddan	Bajásšaddan
Bajásčuožželeami	Bajásčuožžileami
Bajášaddan	Bajásšaddan
Bajáššaddan	Bajásšaddan
Banakas	Banakis
Banana	Banána
Barenst	Barents
Barenstguovlu	Barentsguovlu
Barentčállingottiin	Barentsčállingottiin
Barggidbellodat	Bargiidbellodat
Barggiidbellodaga	Bargiidbellodaga
Barggohisvuohta	Bargguhisvuohta
Bargiibellodaga	Bargiidbellodaga
Bargiibellodagas	Bargiidbellodagas
Bargiibellodat	Bargiidbellodat
Bargiibellodgain	Bargiidbellodagain
Bargiidabellodaga	Bargiidbellodaga
Bargiidbeallodaga	Bargiidbellodaga
Bargiidbeallodat	Bargiidbellodat
Bargiidbelldoat	Bargiidbellodat
Bargiidbelloat	Bargiidbellodat
Bargiidbellodag	Bargiidbellodaga
Bargiidbellodasa	Bargiidbellodaga
Bargiidbelloga	Bargiidbellodaga
Bargiidebellodagas	Bargiidbellodagas
Bas-Prinssáš	Bas-Prinssaš
Basseŋga	Basseaŋga
Bavtajohka	Bávttajohka
Bavttajohka	Bávttajohka
Beaivit	Beaivvit
Beaivvaš	Beaivváš
Beaivvás	Beaivváš
Bealjáščohkáid	Bealjáščohkaid
Beargena	Bergena
Beassa	Beassá
Beassašfestivalain	Beassášfestiválain
Beasán	Beasan
Beatless	Beatles
Beavi	Beaivi
Beazedievva	Beazedievvá
Beiavvášgieddi	Beaivvášgieddi
Bern-konvešuvnna	Bern-konvenšuvnna
Betales	Beatles
Bibala	Biibbala
Biddjovággái	Biedjovággái
Biddjovákki	Biedjovákki
Bidjovákkis	Biedjovákkis
Biebmobearraigeahču	Biebmobearráigeahču
Biebmostállama	Biepmostallama
Bieggomillorusttegiid	Bieggamillorusttegiid
Biehtar	Biehtár
Biepmustallama	Biepmostallama
Bihtta	Bihttá
Biiga	Biigá
Biilaindustria	Biilaindustriija
Birasgahttendepartemeanta	Birasgáhttendepartemeanta
Birasgahttendepartementta	Birasgáhttendepartemeantta
Birasgahttenministtar	Birasgáhttenministtar
Birasgáhttendeparte-meanta	Birasgáhttendepartemeanta
Birasspáiddár	Birasspáiddar
Bjerkviika	Bjerkvika
Bjerviika	Bjerkvika
Bjerviikas	Bjerkvikas
Blacksheeps	BlackSheeps
Boahte	Boahtte
Boaraseappot	Boarráseappot
Boaraseapput	Boarráseappot
Boarasiid	Boarrásiid
Boarraseamos	Boarráseamos
Boarraset	Boarráset
Boarrasit	Boarrásit
Boasttubeal	Boasttubeale
Boazo	Boazu
Boazodaollolága	Boazodoallolága
Boazodoallo	Boazodoallu
Boazodoallošiehtádusain	Boazodoallošiehtadusain
Boazodoalluhálddahus	Boazodoallohálddahus
Boazodoalluhálddáhus	Boazodoallohálddahus
Boazodoalošiehtádusa	Boazodoallošiehtadusa
Boazopoliijat	Boazopolitiijat
Bodeaju	Budejju
Bodeajus	Budejjus
Bodedju	Bodeadju
Bohtál	Bohtal
Boraspirevátttisvuohta	Boraspireváttisvuohta
Borádit	Boradit
Boršejávrriŧ	Boršejávrrit
Bossegohpii	Bossogohppái
Bovsta	Bovccá
Brasiila	Brasila
Brasiilas	Brasilas
Buletjavri	Buletjávri
Bulgaralaš	Bulgárialaš
Buoddun	Buođđun
Buodu	Buođu
Buorimus	Buoremus
Buorredáhttulašvuođa	Buorredáhtolašvuođa
Buorresárku	Boaresárku
Buresivdniduvvon	Buressivdniduvvon
Buris	Bures
Burjáhtalaš	Burjáhtialaš
Burjátias	Burjatias
Buseahttareguleren	Bušeahttareguleren
Bágadalli	Bagadalli
Bágadallit	Bagadallit
Bátnedoktárabálvalus	Bátnedoavttirbálvalus
Bággolonistanvuoigatvuodavuoddu	Bággolonistanvuoigatvuođavuođđu
Báhcajeagil	Báhčajeagil
Báhccajeagil	Báhčajeagil
Báhcánjeagil	Báhčajeagil
Báhkkilvárri	Báhkilvárri
Báicce	Baicce
Báicco	Baicce
Báika	Baika
Báisduoddara	Báišduoddara
Báktebohkka	Báktebohkká
Báktevuoigatvuodaid	Báktevuoigatvuođaid
Báktevuoigatvuodat	Báktevuoigatvuođat
Bálkášupmi	Bálkkašupmi
Bárgosadji	Bargosadji
Bártnážát	Bártnážat
Bávttavuolesjávrai	Bávttavuolesjávrái
Bårsejåkka	Borsejohka
Bæive	Bæivi
Cabarets	Cabaretas
Celkejuvvo	Celkojuvvo
Chiapasas	Chiapasis
Chrrister	Christer
Coctail	Cocktail
Coggalehppet	Coggalehpet
Commišuvdna	Kommišuvdna
Cunučearru	Čunočearru
Cuovvovaccat	Čuovvovaččat
Cuovvovaš	Čuovvovaš
Cup:a	Cupa
Cupai	Cupii
Da	Dá
Dagbladis	Dagbladetis
Dagbláđđai	Dagbladetii
Dagsreyenis	Dagsrevyenis
Dakŋásat	Dakŋasat
Dallu	Dállu
Dalošvákkis	Dálošvákkis
